row	packet_index	time_display	event_family	channel	tlp_type_hex	link_width
441	160281	9.068 sec	TLP	Downstream	0x3	1
442	162602	9.084 sec	TLP	Downstream	0x1	1
443	162605	9.084 sec	TLP	Upstream	0x12	1
444	162607	9.084 sec	TLP	Downstream	0x1	1
445	162610	9.084 sec	TLP	Upstream	0x12	1
446	162612	9.084 sec	TLP	Downstream	0x3	1
447	162614	9.084 sec	TLP	Downstream	0x1	1
448	162618	9.084 sec	TLP	Upstream	0x12	1
449	162620	9.084 sec	TLP	Downstream	0x3	1
450	162622	9.084 sec	TLP	Downstream	0x1	1
451	162626	9.084 sec	TLP	Upstream	0x12	1
452	162628	9.084 sec	TLP	Downstream	0x3	1
453	162631	9.084 sec	TLP	Downstream	0x1	1
454	162634	9.084 sec	TLP	Upstream	0x12	1
455	162636	9.084 sec	TLP	Downstream	0x1	1
456	162639	9.084 sec	TLP	Upstream	0x12	1
457	162641	9.084 sec	TLP	Downstream	0x3	1
458	162643	9.084 sec	TLP	Downstream	0x3	1
459	162646	9.084 sec	TLP	Downstream	0x3	1
460	162649	9.084 sec	TLP	Downstream	0x3	1
461	162653	9.084 sec	TLP	Downstream	0x1	1
462	162658	9.084 sec	TLP	Upstream	0x12	1
463	162660	9.084 sec	TLP	Downstream	0x3	1
464	162662	9.084 sec	TLP	Downstream	0x3	1
465	162666	9.084 sec	TLP	Downstream	0x3	1
466	162669	9.084 sec	TLP	Downstream	0x3	1
467	162671	9.084 sec	TLP	Downstream	0x1	1
468	162675	9.084 sec	TLP	Upstream	0x12	1
469	162677	9.084 sec	TLP	Downstream	0x3	1
470	162679	9.084 sec	TLP	Downstream	0x1	1
471	162683	9.084 sec	TLP	Upstream	0x12	1
472	162685	9.084 sec	TLP	Downstream	0x3	1
473	162687	9.084 sec	TLP	Downstream	0x3	1
474	162690	9.084 sec	TLP	Downstream	0x1	1
475	162694	9.084 sec	TLP	Upstream	0x12	1
476	162696	9.084 sec	TLP	Downstream	0x3	1
477	162698	9.084 sec	TLP	Downstream	0x1	1
478	162702	9.084 sec	TLP	Upstream	0x12	1
479	162704	9.084 sec	TLP	Downstream	0x3	1
480	162706	9.084 sec	TLP	Downstream	0x3	1
481	162710	9.084 sec	TLP	Downstream	0x3	1
482	162712	9.084 sec	TLP	Downstream	0x3	1
483	192256	9.289 sec	TLP	Downstream	0x3	1
484	192259	9.289 sec	TLP	Downstream	0x1	1
485	192263	9.289 sec	TLP	Upstream	0x12	1
486	192265	9.289 sec	TLP	Downstream	0x3	1
487	192267	9.289 sec	TLP	Downstream	0x3	1
488	192271	9.289 sec	TLP	Downstream	0x1	1
489	192274	9.289 sec	TLP	Upstream	0x12	1
490	192276	9.289 sec	TLP	Downstream	0x3	1
491	192278	9.289 sec	TLP	Downstream	0x1	1
492	192282	9.289 sec	TLP	Upstream	0x12	1
493	192284	9.289 sec	TLP	Downstream	0x3	1
494	192287	9.289 sec	TLP	Downstream	0x3	1
495	192289	9.289 sec	TLP	Downstream	0x1	1
496	192293	9.289 sec	TLP	Upstream	0x12	1
497	192295	9.289 sec	TLP	Downstream	0x3	1
498	192297	9.289 sec	TLP	Downstream	0x1	1
499	192301	9.289 sec	TLP	Upstream	0x12	1
500	192303	9.289 sec	TLP	Downstream	0x3	1
501	192305	9.289 sec	TLP	Downstream	0x3	1
