
------------------------------------------------------------------------------------
                                    lecroy-vse-toolkit-poc-20260912-30e3b5c6\g1b-tlp-rows-10k
------------------------------------------------------------------------------------


Running verification script...
...

Test Description : 
PCIe G1b TLP row export - cap 10000 or trace end - v2
PCIE_G1B_TLP_ROWS_V2 cap=10000 time=vendor_display_text
PCIE_G1B_TLP|96466| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96468| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96471| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96473| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96476| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96478| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96481| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96484| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96488| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96490| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96492| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96496| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96499| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96501| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96505| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96507| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96509| 8.627 sec|TLP|Downstream|0x1|1
PCIE_G1B_TLP|96513| 8.627 sec|TLP|Upstream|0x12|1
PCIE_G1B_TLP|96515| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96517| 8.627 sec|TLP|Downstream|0x3|1
PCIE_G1B_TLP|96520| 8.627 sec|TLP|Downstream|0x1|1
