row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
327	96501	8.627 sec	Downstream	0x1	7	0	NA	NA
328	96505	8.627 sec	Upstream	0x12	7	0	256	0
329	96507	8.627 sec	Downstream	0x3	0	0	NA	NA
330	96509	8.627 sec	Downstream	0x1	13	0	NA	NA
331	96513	8.627 sec	Upstream	0x12	13	0	256	0
332	96515	8.627 sec	Downstream	0x3	0	0	NA	NA
333	96517	8.627 sec	Downstream	0x3	0	0	NA	NA
334	96520	8.627 sec	Downstream	0x1	3	0	NA	NA
335	96524	8.627 sec	Upstream	0x12	3	0	256	0
336	96526	8.627 sec	Downstream	0x3	0	0	NA	NA
337	96528	8.627 sec	Downstream	0x1	9	0	NA	NA
338	96532	8.627 sec	Upstream	0x12	9	0	256	0
339	96534	8.627 sec	Downstream	0x3	0	0	NA	NA
340	96536	8.627 sec	Downstream	0x3	0	0	NA	NA
341	96539	8.627 sec	Downstream	0x3	0	0	NA	NA
342	96542	8.627 sec	Downstream	0x3	0	0	NA	NA
343	126018	8.832 sec	Downstream	0x3	0	0	NA	NA
344	126023	8.832 sec	Downstream	0x1	15	0	NA	NA
345	126026	8.832 sec	Upstream	0x12	15	0	256	0
346	126028	8.832 sec	Downstream	0x3	0	0	NA	NA
347	126030	8.832 sec	Downstream	0x1	0	0	NA	NA
348	126034	8.832 sec	Upstream	0x12	0	0	256	0
349	126036	8.832 sec	Downstream	0x3	0	0	NA	NA
350	126038	8.832 sec	Downstream	0x3	0	0	NA	NA
351	126042	8.832 sec	Downstream	0x1	4	0	NA	NA
352	126045	8.832 sec	Upstream	0x12	4	0	256	0
353	126047	8.832 sec	Downstream	0x3	0	0	NA	NA
354	126049	8.832 sec	Downstream	0x1	10	0	NA	NA
355	126053	8.832 sec	Upstream	0x12	10	0	256	0
356	126055	8.832 sec	Downstream	0x3	0	0	NA	NA
357	126057	8.832 sec	Downstream	0x3	0	0	NA	NA
358	126060	8.832 sec	Downstream	0x1	1	0	NA	NA
359	126064	8.832 sec	Upstream	0x12	1	0	256	0
360	126066	8.832 sec	Downstream	0x3	0	0	NA	NA
361	126069	8.832 sec	Downstream	0x3	0	0	NA	NA
362	126071	8.832 sec	Downstream	0x1	6	0	NA	NA
363	126075	8.832 sec	Upstream	0x12	6	0	256	0
364	126077	8.832 sec	Downstream	0x3	0	0	NA	NA
365	126079	8.832 sec	Downstream	0x1	12	0	NA	NA
366	126083	8.832 sec	Upstream	0x12	12	0	256	0
367	126085	8.832 sec	Downstream	0x3	0	0	NA	NA
368	126087	8.832 sec	Downstream	0x3	0	0	NA	NA
369	126090	8.832 sec	Downstream	0x1	2	0	NA	NA
