row	packet_index	time_display	channel	tlp_type_hex	tag	requester_id	completer_id	compl_status
376	2096053	5.895 sec	Upstream	0x11	6	0	256	0
377	2096056	5.895 sec	Downstream	0xA	12	0	NA	NA
378	2096059	5.895 sec	Upstream	0x11	12	0	256	0
379	2096063	5.895 sec	Downstream	0xA	2	0	NA	NA
380	2096065	5.895 sec	Upstream	0x11	2	0	256	0
381	2096068	5.895 sec	Downstream	0xA	8	0	NA	NA
382	2096070	5.895 sec	Upstream	0x11	8	0	256	0
383	2096073	5.895 sec	Downstream	0xA	14	0	NA	NA
384	2096075	5.895 sec	Upstream	0x11	14	0	256	0
385	2096078	5.895 sec	Downstream	0xA	0	0	NA	NA
386	2096080	5.895 sec	Upstream	0x11	0	0	256	0
387	2096084	5.895 sec	Downstream	0x9	5	0	NA	NA
388	2096086	5.895 sec	Upstream	0x12	5	0	256	0
389	2096089	5.895 sec	Downstream	0xA	11	0	NA	NA
390	2096091	5.895 sec	Upstream	0x11	11	0	256	0
391	2096094	5.895 sec	Downstream	0x9	1	0	NA	NA
392	2096096	5.895 sec	Upstream	0x12	1	0	256	0
393	2096099	5.895 sec	Downstream	0xA	7	0	NA	NA
394	2096101	5.895 sec	Upstream	0x11	7	0	256	0
395	2096107	5.895 sec	Downstream	0xA	13	0	NA	NA
396	2096109	5.895 sec	Upstream	0x11	13	0	256	0
397	2096112	5.895 sec	Downstream	0x9	3	0	NA	NA
398	2096114	5.895 sec	Upstream	0x12	3	0	256	0
399	2096117	5.895 sec	Downstream	0x9	9	0	NA	NA
400	2096119	5.895 sec	Upstream	0x12	9	0	256	0
401	2096122	5.895 sec	Downstream	0xA	15	0	NA	NA
402	2096124	5.895 sec	Upstream	0x11	15	0	256	0
403	2096128	5.895 sec	Downstream	0x9	0	0	NA	NA
404	2096130	5.895 sec	Upstream	0x12	0	0	256	0
405	2096135	5.895 sec	Downstream	0x9	4	0	NA	NA
406	2096137	5.895 sec	Upstream	0x12	4	0	256	0
407	2096140	5.895 sec	Downstream	0x9	10	0	NA	NA
408	2096142	5.895 sec	Upstream	0x12	10	0	256	0
409	2096145	5.895 sec	Downstream	0x9	1	0	NA	NA
410	2096147	5.895 sec	Upstream	0x12	1	0	256	0
411	2096150	5.895 sec	Downstream	0x9	6	0	NA	NA
412	2096152	5.895 sec	Upstream	0x12	6	0	256	0
413	2096155	5.895 sec	Downstream	0x9	12	0	NA	NA
414	2096157	5.895 sec	Upstream	0x12	12	0	256	0
415	2096160	5.895 sec	Downstream	0x9	2	0	NA	NA
416	2096162	5.895 sec	Upstream	0x12	2	0	256	0
417	2096166	5.895 sec	Downstream	0x9	8	0	NA	NA
